Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage	Class	Seq_count	pattern	clades
tr|A0A3R1AUV4|A0A3R1AUV4_SALET_LuxR_family_transcriptional_regulator_OS=Salmonella_enterica_subsp._enterica_serovar_Kidderminster_OX=2564616_GN=D7N80_27680_PE=4_SV=1	unreviewed	A0A3R1AUV4_SALET	LuxR family transcriptional regulator	D7N80_27680	Salmonella enterica subsp. enterica serovar Kidderminster	240	Salmonella enterica I (subspecies), Salmonella enterica (species), Salmonella (genus), Enterobacteriaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	11	tr|A0A3R1AUV4	clade_2
tr|A0A3S0EJF1|A0A3S0EJF1_9RHOO_LuxR_family_transcriptional_regulator_OS=Rhodocyclaceae_bacterium_OX=1898103_GN=EKK49_17195_PE=4_SV=1	unreviewed	A0A3S0EJF1_9RHOO	LuxR family transcriptional regulator	EKK49_17195	Rhodocyclaceae bacterium	253	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	4	tr|A0A3S0EJF1	clade_6
tr|A0A3S0HM52|A0A3S0HM52_9HYPH_LuxR_family_transcriptional_regulator_OS=Hyphomicrobiales_bacterium_OX=1909294_GN=EKK31_11420_PE=4_SV=1	unreviewed	A0A3S0HM52_9HYPH	LuxR family transcriptional regulator	EKK31_11420	Hyphomicrobiales bacterium	248	unclassified Hyphomicrobiales (no rank), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	16	tr|A0A3S0HM52	clade_5
tr|A0A3S0RQN1|A0A3S0RQN1_HYPSQ_LuxR_family_transcriptional_regulator_OS=Hyphomicrobium_sp_OX=82_GN=EKK38_13750_PE=4_SV=1	unreviewed	A0A3S0RQN1_HYPSQ	LuxR family transcriptional regulator	EKK38_13750	Hyphomicrobium sp	248	unclassified Hyphomicrobium (no rank), Hyphomicrobium (genus), Hyphomicrobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	10	tr|A0A3S0RQN1	clade_5
tr|A0A3S1TXM0|A0A3S1TXM0_9HYPH_LuxR_family_transcriptional_regulator_OS=Mesorhizobium_sp._M7A.F.Ca.US.001.04.1.1_OX=2496726_GN=EN978_21360_PE=4_SV=1	unreviewed	A0A3S1TXM0_9HYPH	LuxR family transcriptional regulator	EN978_21360	Mesorhizobium sp. M7A.F.Ca.US.001.04.1.1	268	unclassified Mesorhizobium (no rank), Mesorhizobium (genus), Phyllobacteriaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	52	tr|A0A3S1TXM0	clade_5
tr|A0A3S8U2G5|A0A3S8U2G5_9RHOB_HTH_luxR-type_domain-containing_protein_OS=Tabrizicola_piscis_OX=2494374_GN=EI545_02470_PE=4_SV=1	unreviewed	A0A3S8U2G5_9RHOB	HTH luxR-type domain-containing protein	EI545_02470	Tabrizicola piscis	254	Tabrizicola (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A3S8U2G5	clade_2
tr|A0A410VHW1|A0A410VHW1_9BRAD_LuxR_family_transcriptional_regulator_OS=Bradyrhizobium_guangdongense_OX=1325090_GN=X265_37040_PE=4_SV=1	unreviewed	A0A410VHW1_9BRAD	LuxR family transcriptional regulator	X265_37040	Bradyrhizobium guangdongense	268	Bradyrhizobium (genus), Nitrobacteraceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	47	tr|A0A410VHW1	clade_5
tr|A0A410VJJ8|A0A410VJJ8_9BRAD_LuxR_family_transcriptional_regulator_OS=Bradyrhizobium_guangdongense_OX=1325090_GN=X265_36355_PE=4_SV=1	unreviewed	A0A410VJJ8_9BRAD	LuxR family transcriptional regulator	X265_36355	Bradyrhizobium guangdongense	243	Bradyrhizobium (genus), Nitrobacteraceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	5	tr|A0A410VJJ8	clade_4
tr|A0A411WKK1|A0A411WKK1_9GAMM_LuxR_family_transcriptional_regulator_OS=Jinshanibacter_zhutongyuii_OX=2498113_GN=EKN56_09745_PE=4_SV=1	unreviewed	A0A411WKK1_9GAMM	LuxR family transcriptional regulator	EKN56_09745	Jinshanibacter zhutongyuii	267	Jinshanibacter (genus), Budviciaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	99	tr|A0A411WKK1	clade_6
tr|A0A411Z058|A0A411Z058_9RHOB_LuxR_family_transcriptional_regulator_OS=Tabrizicola_alkalilacus_OX=2305252_GN=D1012_14635_PE=4_SV=1	unreviewed	A0A411Z058_9RHOB	LuxR family transcriptional regulator	D1012_14635	Tabrizicola alkalilacus	246	Tabrizicola (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A411Z058	clade_2
tr|A0A418WTT3|A0A418WTT3_9PROT_HTH_luxR-type_domain-containing_protein_OS=Oleomonas_cavernae_OX=2320859_GN=D3874_02260_PE=4_SV=1	unreviewed	A0A418WTT3_9PROT	HTH luxR-type domain-containing protein	D3874_02260	Oleomonas cavernae	244	Oleomonas (genus), Acetobacteraceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A418WTT3	clade_5
tr|A0A419R5J1|A0A419R5J1_9SPHN_LuxR_family_transcriptional_regulator_OS=Tsuneonella_suprasediminis_OX=2306996_GN=D6858_01550_PE=4_SV=1	unreviewed	A0A419R5J1_9SPHN	LuxR family transcriptional regulator	D6858_01550	Tsuneonella suprasediminis	239	Tsuneonella (genus), Erythrobacteraceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A419R5J1	clade_3
tr|A0A420CEY9|A0A420CEY9_9HYPH_LuxR_family_transcriptional_regulator_OS=Rhizobium_sp._AG855_OX=2183898_GN=DFO46_4688_PE=4_SV=1	unreviewed	A0A420CEY9_9HYPH	LuxR family transcriptional regulator	DFO46_4688	Rhizobium sp. AG855	232	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A420CEY9	clade_4
tr|A0A420CZ83|A0A420CZ83_9HYPH_Autoinducer_binding_domain-containing_protein_OS=Rhizobium_sp._AG855_OX=2183898_GN=DFO46_0536_PE=4_SV=1	unreviewed	A0A420CZ83_9HYPH	Autoinducer binding domain-containing protein	DFO46_0536	Rhizobium sp. AG855	243	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A420CZ83	clade_3
tr|A0A420WFI9|A0A420WFI9_9PROT_Autoinducer_binding_domain-containing_protein_OS=Litorimonas_taeanensis_OX=568099_GN=DES40_2569_PE=4_SV=1	unreviewed	A0A420WFI9_9PROT	Autoinducer binding domain-containing protein	DES40_2569	Litorimonas taeanensis	251	Litorimonas (genus), Robiginitomaculaceae (family), Maricaulales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A420WFI9	clade_5
tr|A0A420WJG3|A0A420WJG3_9PROT_Autoinducer_binding_domain-containing_protein_OS=Litorimonas_taeanensis_OX=568099_GN=DES40_0461_PE=4_SV=1	unreviewed	A0A420WJG3_9PROT	Autoinducer binding domain-containing protein	DES40_0461	Litorimonas taeanensis	234	Litorimonas (genus), Robiginitomaculaceae (family), Maricaulales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A420WJG3	clade_3
tr|A0A426FSE8|A0A426FSE8_9BURK_LuxR_family_transcriptional_regulator_OS=Lautropia_dentalis_OX=2490857_GN=EHV23_05555_PE=4_SV=1	unreviewed	A0A426FSE8_9BURK	LuxR family transcriptional regulator	EHV23_05555	Lautropia dentalis	237	Lautropia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	2	tr|A0A426FSE8	clade_6
tr|A0A429VBT5|A0A429VBT5_9SPHN_HTH_luxR-type_domain-containing_protein_OS=Sphingomonas_ginkgonis_OX=2315330_GN=HMF7854_11165_PE=4_SV=1	unreviewed	A0A429VBT5_9SPHN	HTH luxR-type domain-containing protein	HMF7854_11165	Sphingomonas ginkgonis	238	Sphingomonas (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A429VBT5	clade_4
tr|A0A429Z2U0|A0A429Z2U0_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Aquibium_carbonis_OX=2495581_GN=EJC49_02550_PE=4_SV=1	unreviewed	A0A429Z2U0_9HYPH	HTH luxR-type domain-containing protein	EJC49_02550	Aquibium carbonis	253	Aquibium (genus), Phyllobacteriaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A429Z2U0	clade_1
tr|A0A430EGF0|A0A430EGF0_9SPHN_HTH_luxR-type_domain-containing_protein_OS=Sphingomonas_sp._ABOLE_OX=1985878_GN=CA234_15475_PE=4_SV=1	unreviewed	A0A430EGF0_9SPHN	HTH luxR-type domain-containing protein	CA234_15475	Sphingomonas sp. ABOLE	240	unclassified Sphingomonas (no rank), Sphingomonas (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	7	tr|A0A430EGF0	clade_5
tr|A0A430EJC6|A0A430EJC6_9SPHN_LuxR_family_transcriptional_regulator_OS=Sphingomonas_sp._ABOLE_OX=1985878_GN=CA234_10805_PE=4_SV=1	unreviewed	A0A430EJC6_9SPHN	LuxR family transcriptional regulator	CA234_10805	Sphingomonas sp. ABOLE	244	unclassified Sphingomonas (no rank), Sphingomonas (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A430EJC6	clade_5
tr|A0A431KNF3|A0A431KNF3_9BURK_LuxR_family_transcriptional_regulator_OS=Burkholderiales_bacterium_OX=1891238_GN=EKK53_27895_PE=4_SV=1	unreviewed	A0A431KNF3_9BURK	LuxR family transcriptional regulator	EKK53_27895	Burkholderiales bacterium	233	unclassified Burkholderiales (no rank), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	1	tr|A0A431KNF3	clade_6
tr|A0A431KNL3|A0A431KNL3_9BURK_HTH_luxR-type_domain-containing_protein_OS=Burkholderiales_bacterium_OX=1891238_GN=EKK53_27905_PE=4_SV=1	unreviewed	A0A431KNL3_9BURK	HTH luxR-type domain-containing protein	EKK53_27905	Burkholderiales bacterium	243	unclassified Burkholderiales (no rank), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	1	tr|A0A431KNL3	clade_6
tr|A0A431PQQ8|A0A431PQQ8_9HYPH_LuxR_family_transcriptional_regulator_OS=Hyphomicrobiales_bacterium_OX=1909294_GN=EKK29_08860_PE=4_SV=1	unreviewed	A0A431PQQ8_9HYPH	LuxR family transcriptional regulator	EKK29_08860	Hyphomicrobiales bacterium	244	unclassified Hyphomicrobiales (no rank), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A431PQQ8	clade_5
tr|A0A438ALI0|A0A438ALI0_9RHOB_LuxR_family_transcriptional_regulator_OS=Mesobaculum_littorinae_OX=2486419_GN=EKE94_02080_PE=4_SV=1	unreviewed	A0A438ALI0_9RHOB	LuxR family transcriptional regulator	EKE94_02080	Mesobaculum littorinae	249	Mesobaculum (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A438ALI0	clade_2
tr|A0A447KNX7|A0A447KNX7_SEROD_LuxR_family_transcriptional_regulator_OS=Serratia_odorifera_OX=618_GN=lasR_1_PE=4_SV=1	unreviewed	A0A447KNX7_SEROD	LuxR family transcriptional regulator (Transcriptional activator protein lasR)	lasR_1 JFR26_14935 NCTC11214_01457	Serratia odorifera	237	Serratia (genus), Yersiniaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	15	tr|A0A447KNX7	clade_6
tr|A0A482ZPL5|A0A482ZPL5_9GAMM_Transcriptional_activator_protein_LuxR_OS=uncultured_Candidatus_Thioglobus_sp_OX=655186_GN=SPONN_439_PE=4_SV=1	unreviewed	A0A482ZPL5_9GAMM	Transcriptional activator protein LuxR	SPONN_439	uncultured Candidatus Thioglobus sp	242	environmental samples (no rank), Candidatus Thioglobus (genus), Gammaproteobacteria incertae sedis (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	2	tr|A0A482ZPL5	clade_4
tr|A0A484GEK4|A0A484GEK4_9GAMM_LuxR_family_transcriptional_regulator_OS=Candidatus_Schmidhempelia_bombi_str._Bimp_OX=1387197_GN=O970_01650_PE=4_SV=1	unreviewed	A0A484GEK4_9GAMM	LuxR family transcriptional regulator	O970_01650	Candidatus Schmidhempelia bombi str. Bimp	249	Candidatus Schmidhempelia bombi (species), Candidatus Schmidhempelia (genus), Orbaceae (family), Orbales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	1	tr|A0A484GEK4	clade_6
tr|A0A494TIH7|A0A494TIH7_SPHPE_LuxR_family_transcriptional_regulator_OS=Sphingomonas_paeninsulae_OX=2319844_GN=D3Y57_02535_PE=4_SV=1	unreviewed	A0A494TIH7_SPHPE	LuxR family transcriptional regulator	D3Y57_02535	Sphingomonas paeninsulae	247	Sphingomonas (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A494TIH7	clade_5
tr|A0A495RL94|A0A495RL94_SPHMI_LuxR_family_quorum-sensing_system_transcriptional_regulator_CciR_OS=Sphingosinicella_microcystinivorans_OX=335406_GN=DFR51_2796_PE=4_SV=1	unreviewed	A0A495RL94_SPHMI	LuxR family quorum-sensing system transcriptional regulator CciR	DFR51_2796	Sphingosinicella microcystinivorans	247	Sphingosinicella (genus), Sphingosinicellaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A495RL94	clade_5
tr|A0A4D7QD80|A0A4D7QD80_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Phreatobacter_sp._NMCR1094_OX=2570229_GN=E8L99_01330_PE=4_SV=1	unreviewed	A0A4D7QD80_9HYPH	HTH luxR-type domain-containing protein	E8L99_01330	Phreatobacter sp. NMCR1094	245	unclassified Phreatobacter (no rank), Phreatobacter (genus), Phreatobacteraceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A4D7QD80	clade_5
tr|A0A4P6FQ17|A0A4P6FQ17_9SPHN_LuxR_family_transcriptional_regulator_OS=Sphingosinicella_sp._BN140058_OX=1892855_GN=ETR14_18620_PE=4_SV=1	unreviewed	A0A4P6FQ17_9SPHN	LuxR family transcriptional regulator	ETR14_18620	Sphingosinicella sp. BN140058	244	unclassified Sphingosinicella (no rank), Sphingosinicella (genus), Sphingosinicellaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A4P6FQ17	clade_5
tr|A0A4P6HGW5|A0A4P6HGW5_9DELT_LuxR_family_transcriptional_regulator_OS=Solidesulfovibrio_carbinolicus_OX=296842_GN=C3Y92_03425_PE=4_SV=1	unreviewed	A0A4P6HGW5_9DELT	LuxR family transcriptional regulator	C3Y92_03425	Solidesulfovibrio carbinolicus	257	Solidesulfovibrio (genus), Desulfovibrionaceae (family), Desulfovibrionales (order), Deltaproteobacteria (class), delta/epsilon subdivisions (subphylum), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Deltaproteobacteria	5	tr|A0A4P6HGW5	clade_6
tr|A0A4P6MGU9|A0A4P6MGU9_9RHOB_HTH_luxR-type_domain-containing_protein_OS=Thalassococcus_sp._S3_OX=2017482_GN=CFI11_15055_PE=4_SV=1	unreviewed	A0A4P6MGU9_9RHOB	HTH luxR-type domain-containing protein	CFI11_15055	Thalassococcus sp. S3	257	unclassified Thalassococcus (no rank), Thalassococcus (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A4P6MGU9	clade_1
tr|A0A4P7UNH0|A0A4P7UNH0_DESDE_LuxR_family_transcriptional_regulator_OS=Desulfovibrio_desulfuricans_OX=876_GN=DDIC_04350_PE=4_SV=1	unreviewed	A0A4P7UNH0_DESDE	LuxR family transcriptional regulator	DDIC_04350	Desulfovibrio desulfuricans	250	Desulfovibrio (genus), Desulfovibrionaceae (family), Desulfovibrionales (order), Deltaproteobacteria (class), delta/epsilon subdivisions (subphylum), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Deltaproteobacteria	1	tr|A0A4P7UNH0	clade_2
tr|A0A4P8J148|A0A4P8J148_9BURK_LuxR_family_transcriptional_regulator_OS=Burkholderia_sp._DHOD12_OX=2571746_GN=FAZ95_37150_PE=4_SV=1	unreviewed	A0A4P8J148_9BURK	LuxR family transcriptional regulator	FAZ95_37150	Burkholderia sp. DHOD12	239	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	1	tr|A0A4P8J148	clade_6
tr|A0A4Q2RK57|A0A4Q2RK57_9HYPH_LuxR_family_transcriptional_regulator_OS=Lichenibacterium_ramalinae_OX=2316527_GN=D3272_02190_PE=4_SV=1	unreviewed	A0A4Q2RK57_9HYPH	LuxR family transcriptional regulator	D3272_02190	Lichenibacterium ramalinae	241	Lichenibacterium (genus), Lichenibacteriaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A4Q2RK57	clade_4
tr|A0A4Q3DWP9|A0A4Q3DWP9_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Hyphomicrobiales_bacterium_OX=1909294_GN=EOP22_03155_PE=4_SV=1	unreviewed	A0A4Q3DWP9_9HYPH	HTH luxR-type domain-containing protein	EOP22_03155	Hyphomicrobiales bacterium	262	unclassified Hyphomicrobiales (no rank), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A4Q3DWP9	clade_5
tr|A0A4Q3WE48|A0A4Q3WE48_9PROT_HTH_luxR-type_domain-containing_protein_OS=Alphaproteobacteria_bacterium_OX=1913988_GN=EON56_03080_PE=4_SV=1	unreviewed	A0A4Q3WE48_9PROT	HTH luxR-type domain-containing protein	EON56_03080	Alphaproteobacteria bacterium	241	unclassified Alphaproteobacteria (no rank), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A4Q3WE48	clade_5
tr|A0A4Q5PZA0|A0A4Q5PZA0_9BRAD_LuxR_family_transcriptional_regulator_OS=Bradyrhizobiaceae_bacterium_OX=2072420_GN=EON84_00700_PE=4_SV=1	unreviewed	A0A4Q5PZA0_9BRAD	LuxR family transcriptional regulator	EON84_00700	Bradyrhizobiaceae bacterium	257	unclassified Bradyrhizobiaceae (no rank), Nitrobacteraceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	10	tr|A0A4Q5PZA0	clade_5
tr|A0A4Q5XY94|A0A4Q5XY94_9PROT_HTH_luxR-type_domain-containing_protein_OS=Alphaproteobacteria_bacterium_OX=1913988_GN=EON61_03215_PE=4_SV=1	unreviewed	A0A4Q5XY94_9PROT	HTH luxR-type domain-containing protein	EON61_03215	Alphaproteobacteria bacterium	250	unclassified Alphaproteobacteria (no rank), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A4Q5XY94	clade_2
tr|A0A4Q9GP22|A0A4Q9GP22_9HYPH_LuxR_family_transcriptional_regulator_OS=Hansschlegelia_quercus_OX=2528245_GN=EYR15_01935_PE=4_SV=1	unreviewed	A0A4Q9GP22_9HYPH	LuxR family transcriptional regulator	EYR15_01935	Hansschlegelia quercus	243	Hansschlegelia (genus), Methylocystaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A4Q9GP22	clade_5
tr|A0A4R0PF53|A0A4R0PF53_9HYPH_LuxR_family_transcriptional_regulator_OS=Oricola_cellulosilytica_OX=1429082_GN=E0D97_08445_PE=4_SV=1	unreviewed	A0A4R0PF53_9HYPH	LuxR family transcriptional regulator	E0D97_08445	Oricola cellulosilytica	253	Oricola (genus), Phyllobacteriaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A4R0PF53	clade_2
tr|A0A4R2C627|A0A4R2C627_SHIGR_LuxR_family_transcriptional_activator_of_conjugal_transfer_of_Ti_plasmids_OS=Shinella_granuli_OX=323621_GN=EV665_12726_PE=4_SV=1	unreviewed	A0A4R2C627_SHIGR	LuxR family transcriptional activator of conjugal transfer of Ti plasmids	EV665_12726	Shinella granuli	245	Shinella (genus), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A4R2C627	clade_4
tr|A0A4R2P9B1|A0A4R2P9B1_RHOSA_LuxR_family_transcriptional_activator_of_bioluminescence_operon_OS=Rhodothalassium_salexigens_DSM_2132_OX=1188247_GN=EV659_11157_PE=4_SV=1	unreviewed	A0A4R2P9B1_RHOSA	LuxR family transcriptional activator of bioluminescence operon	EV659_11157	Rhodothalassium salexigens DSM 2132	242	Rhodothalassium salexigens (species), Rhodothalassium (genus), Rhodothalassiaceae (family), Rhodothalassiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A4R2P9B1	clade_2
tr|A0A4R2PLB1|A0A4R2PLB1_RHOSA_LuxR_family_transcriptional_regulator_OS=Rhodothalassium_salexigens_DSM_2132_OX=1188247_GN=EV659_103290_PE=4_SV=1	unreviewed	A0A4R2PLB1_RHOSA	LuxR family transcriptional regulator	EV659_103290	Rhodothalassium salexigens DSM 2132	238	Rhodothalassium salexigens (species), Rhodothalassium (genus), Rhodothalassiaceae (family), Rhodothalassiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A4R2PLB1	clade_5
tr|A0A4R3J9D9|A0A4R3J9D9_9PROT_LuxR_family_transcriptional_regulator_OS=Varunaivibrio_sulfuroxidans_OX=1773489_GN=EDD55_10533_PE=4_SV=1	unreviewed	A0A4R3J9D9_9PROT	LuxR family transcriptional regulator	EDD55_10533	Varunaivibrio sulfuroxidans	248	Varunaivibrio (genus), Thalassospiraceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A4R3J9D9	clade_6
tr|A0A4R3NXK2|A0A4R3NXK2_9HYPH_Autoinducer_binding_domain-containing_protein_OS=Martelella_mediterranea_OX=293089_GN=EDC90_1002256_PE=4_SV=1	unreviewed	A0A4R3NXK2_9HYPH	Autoinducer binding domain-containing protein	EDC90_1002256	Martelella mediterranea	259	Martelella (genus), Aurantimonadaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A4R3NXK2	clade_1
tr|A0A4R3Z1E5|A0A4R3Z1E5_9GAMM_LuxR_family_quorum-sensing_system_transcriptional_regulator_ExpR_OS=Biostraticola_tofi_OX=466109_GN=EDC52_102219_PE=4_SV=1	unreviewed	A0A4R3Z1E5_9GAMM	LuxR family quorum-sensing system transcriptional regulator ExpR	EDC52_102219	Biostraticola tofi	247	Biostraticola (genus), Bruguierivoracaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	8	tr|A0A4R3Z1E5	clade_6
tr|A0A4R5PIN6|A0A4R5PIN6_9HYPH_LuxR_family_transcriptional_regulator_OS=Pseudohoeflea_suaedae_OX=877384_GN=E2A64_17270_PE=4_SV=1	unreviewed	A0A4R5PIN6_9HYPH	LuxR family transcriptional regulator	E2A64_17270	Pseudohoeflea suaedae	242	Pseudohoeflea (genus), Phyllobacteriaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A4R5PIN6	clade_1
